	+Z+Z	+Z+X	+Z+Y	+Z-Z	+Z-X	+Z-Y	+X+Z	+X+X	+X+Y	+X-Z	+X-X	+X-Y	+Y+Z	+Y+X	+Y+Y	+Y-Z	+Y-X	+Y-Y	-Z+Z	-Z+X	-Z+Y	-Z-Z	-Z-X	-Z-Y	-X+Z	-X+X	-X+Y	-X-Z	-X-X	-X-Y	-Y+Z	-Y+X	-Y+Y	-Y-Z	-Y-X	-Y-Y	Pulse length
54	35841.0	30776.0	30249.0	24968.0	31012.0	31296.0	34131.0	30609.0	33461.0	27741.0	29792.0	27383.0	34751.0	26750.0	30770.0	28701.0	33456.0	30222.0	32405.0	27921.0	32243.0	29048.0	31624.0	27342.0	34470.0	30027.0	26595.0	24148.0	30233.0	33541.0	34565.0	33128.0	29771.0	23337.0	27172.0	31232.0	5.3999999999999994e-08
55	38960.0	33241.0	32954.0	28040.0	32856.0	32818.0	36940.0	29947.0	30607.0	28663.0	35416.0	34654.0	36543.0	34737.0	29688.0	24617.0	30009.0	34703.0	34991.0	31369.0	29122.0	26722.0	32215.0	34505.0	37012.0	34830.0	35219.0	26942.0	29780.0	30177.0	36453.0	29162.0	34467.0	31337.0	34818.0	29630.0	5.499999999999999e-08
56	38205.0	31865.0	32983.0	26329.0	31740.0	32423.0	35460.0	35107.0	31589.0	24764.0	28091.0	32260.0	35648.0	31346.0	35463.0	28577.0	31274.0	28900.0	33560.0	33525.0	33529.0	27389.0	28952.0	29149.0	35686.0	28795.0	31521.0	29552.0	35651.0	31979.0	35444.0	32057.0	28574.0	25261.0	32438.0	34588.0	5.599999999999999e-08
57	38765.0	32776.0	33140.0	27697.0	33305.0	33110.0	36903.0	29980.0	35223.0	31218.0	35074.0	30053.0	36761.0	30859.0	30364.0	28489.0	35021.0	35459.0	34719.0	29090.0	32829.0	30930.0	34949.0	32026.0	37269.0	34957.0	30783.0	25285.0	30702.0	35519.0	36786.0	35366.0	35292.0	28311.0	30194.0	29999.0	5.6999999999999994e-08
58	38328.0	32628.0	32847.0	26606.0	32479.0	32055.0	35997.0	32788.0	29136.0	25266.0	32070.0	35319.0	36240.0	35121.0	32327.0	24837.0	27776.0	32203.0	34164.0	33824.0	29425.0	25605.0	29294.0	33477.0	36446.0	31733.0	35496.0	29413.0	32653.0	28583.0	36660.0	29152.0	32081.0	29494.0	35575.0	32391.0	5.799999999999999e-08
59	37459.0	32477.0	32208.0	26618.0	32088.0	32164.0	35989.0	34062.0	33994.0	26832.0	29725.0	29505.0	35713.0	29403.0	33576.0	30190.0	34163.0	29278.0	33697.0	30809.0	33555.0	29621.0	31127.0	28549.0	36051.0	29264.0	29302.0	26693.0	34184.0	34076.0	35900.0	33947.0	29665.0	23914.0	29488.0	33731.0	5.899999999999999e-08
60	37547.0	31450.0	32039.0	26086.0	32175.0	31865.0	35489.0	28332.0	30911.0	28797.0	34793.0	31530.0	35718.0	32110.0	28547.0	24633.0	31870.0	35068.0	34085.0	29543.0	28811.0	27584.0	32983.0	33278.0	35862.0	34760.0	31344.0	24751.0	28447.0	30882.0	35341.0	31195.0	34468.0	28796.0	31582.0	28366.0	6e-08
61	39711.0	33543.0	34258.0	28115.0	33910.0	34172.0	37631.0	35815.0	31197.0	25064.0	30948.0	35599.0	37460.0	35504.0	36106.0	28383.0	31103.0	31329.0	35098.0	35275.0	32820.0	27065.0	30273.0	32767.0	37546.0	30737.0	35608.0	31897.0	36198.0	31352.0	37448.0	31304.0	30624.0	28280.0	35860.0	36269.0	6.099999999999999e-08
62	39923.0	34331.0	34052.0	28562.0	34706.0	34824.0	37543.0	33080.0	37293.0	31793.0	34870.0	30669.0	38278.0	30272.0	33448.0	31504.0	37753.0	34840.0	35708.0	30940.0	34989.0	33075.0	36055.0	31972.0	38310.0	35129.0	30790.0	27054.0	33405.0	37632.0	38116.0	37706.0	34889.0	27647.0	31010.0	33707.0	6.199999999999999e-08
63	38273.0	32425.0	32735.0	26632.0	32476.0	33098.0	36475.0	30220.0	29729.0	27217.0	34067.0	35234.0	36072.0	35153.0	30086.0	24647.0	29461.0	33634.0	33707.0	32124.0	28925.0	26327.0	30900.0	34242.0	36105.0	33388.0	34764.0	27750.0	31034.0	29502.0	36537.0	29212.0	33528.0	30973.0	35672.0	30445.0	6.3e-08
