	+Z+Z	+Z+X	+Z+Y	+Z-Z	+Z-X	+Z-Y	+X+Z	+X+X	+X+Y	+X-Z	+X-X	+X-Y	+Y+Z	+Y+X	+Y+Y	+Y-Z	+Y-X	+Y-Y	-Z+Z	-Z+X	-Z+Y	-Z-Z	-Z-X	-Z-Y	-X+Z	-X+X	-X+Y	-X-Z	-X-X	-X-Y	-Y+Z	-Y+X	-Y+Y	-Y-Z	-Y-X	-Y-Y
187	38824.0	33827.0	33951.0	27117.0	33327.0	33937.0	33939.0	26377.0	32641.0	34120.0	38913.0	33140.0	34688.0	33175.0	26729.0	25729.0	32923.0	39089.0	29369.0	27318.0	27752.0	32831.0	35931.0	35140.0	34353.0	38698.0	33536.0	26367.0	26932.0	32470.0	34806.0	33222.0	39016.0	33745.0	33000.0	26020.0
188	38790.0	33397.0	32515.0	27542.0	33687.0	33968.0	33931.0	25323.0	32055.0	33592.0	38559.0	32222.0	32611.0	32388.0	25001.0	24403.0	32409.0	38014.0	27437.0	26016.0	25621.0	31745.0	35270.0	34524.0	33795.0	38030.0	31767.0	26141.0	26359.0	33149.0	33426.0	31764.0	38183.0	33208.0	32821.0	27471.0
189	36471.0	31966.0	32020.0	25959.0	31519.0	31953.0	32434.0	25719.0	31339.0	31997.0	36168.0	30740.0	32932.0	30932.0	25568.0	24284.0	30604.0	36551.0	27581.0	26316.0	26337.0	30939.0	33222.0	33353.0	33197.0	36156.0	31376.0	24483.0	25011.0	30536.0	32789.0	30609.0	36417.0	31591.0	31135.0	25360.0
190	37359.0	32215.0	32174.0	24894.0	30695.0	30088.0	32789.0	25235.0	30898.0	31014.0	35976.0	29212.0	32704.0	30684.0	24166.0	22565.0	29595.0	36087.0	27674.0	25742.0	24448.0	29611.0	32211.0	31670.0	32608.0	36960.0	29239.0	21622.0	23528.0	29465.0	32687.0	30972.0	35928.0	30118.0	29458.0	22535.0
191	39713.0	33580.0	33848.0	27209.0	33137.0	33006.0	34086.0	25729.0	32007.0	34380.0	38323.0	32564.0	34460.0	32220.0	25899.0	25282.0	31804.0	38761.0	29039.0	26597.0	26758.0	32209.0	34831.0	34757.0	34779.0	39114.0	31840.0	24192.0	25652.0	31755.0	34686.0	32061.0	38148.0	32905.0	31557.0	25459.0
192	40085.0	34254.0	34339.0	27695.0	33492.0	33645.0	34894.0	27162.0	32851.0	33668.0	38634.0	33100.0	34824.0	33381.0	26592.0	25213.0	32183.0	39129.0	29154.0	27429.0	27524.0	32766.0	35137.0	34854.0	34455.0	39057.0	33381.0	24887.0	26046.0	31808.0	34421.0	32334.0	38863.0	32896.0	32497.0	25659.0
193	40456.0	34471.0	34584.0	28041.0	34077.0	34561.0	35310.0	26570.0	33820.0	34836.0	39874.0	33390.0	35345.0	33522.0	27350.0	25994.0	33236.0	40067.0	29123.0	27448.0	27889.0	33553.0	36280.0	36011.0	35191.0	39903.0	33491.0	25089.0	26471.0	33305.0	35684.0	32911.0	39956.0	33992.0	33761.0	26663.0
194	40051.0	35402.0	35077.0	29373.0	35653.0	34925.0	35686.0	28241.0	34021.0	35710.0	40005.0	34439.0	35603.0	34302.0	28458.0	27445.0	34314.0	39895.0	30507.0	28799.0	29206.0	33960.0	36890.0	36481.0	35604.0	39181.0	34009.0	27123.0	28289.0	33842.0	36148.0	33887.0	39520.0	35001.0	34224.0	28541.0
195	38599.0	33558.0	32962.0	27239.0	33052.0	33512.0	33493.0	26634.0	31793.0	33603.0	37932.0	31782.0	33700.0	31952.0	26002.0	25892.0	31984.0	37449.0	28391.0	27259.0	26752.0	31759.0	34332.0	34377.0	33820.0	37610.0	31965.0	25164.0	26209.0	32138.0	33533.0	32077.0	37498.0	32229.0	31609.0	26685.0
196	38106.0	32962.0	33311.0	26708.0	32166.0	32501.0	33344.0	26348.0	31585.0	33012.0	37351.0	31402.0	33378.0	31937.0	25394.0	25284.0	30006.0	37172.0	28635.0	25987.0	26652.0	31236.0	33561.0	33774.0	33281.0	37609.0	31380.0	24295.0	24820.0	30784.0	33272.0	31355.0	37309.0	32061.0	30681.0	25252.0
197	39429.0	33313.0	33879.0	25950.0	33029.0	32888.0	34481.0	27342.0	32614.0	32798.0	37920.0	31743.0	34738.0	33136.0	26244.0	24591.0	31536.0	38156.0	29306.0	27435.0	27644.0	31689.0	34331.0	34173.0	34310.0	38904.0	31753.0	23533.0	24942.0	31524.0	34378.0	32972.0	37847.0	32862.0	31440.0	25373.0
198	40439.0	34240.0	33665.0	27797.0	33936.0	34209.0	35021.0	26593.0	33037.0	35224.0	38945.0	32750.0	34893.0	33082.0	26984.0	26799.0	32638.0	39413.0	29182.0	26657.0	27769.0	33064.0	35737.0	35216.0	34524.0	39322.0	33367.0	25428.0	26367.0	32600.0	34635.0	32858.0	39180.0	33887.0	33298.0	25410.0
199	36886.0	31087.0	31275.0	24181.0	31662.0	31346.0	31952.0	23390.0	29635.0	30841.0	36017.0	29844.0	31925.0	30183.0	22623.0	22287.0	29139.0	36905.0	26086.0	23944.0	24068.0	29129.0	32338.0	32949.0	31565.0	37239.0	29470.0	21974.0	22886.0	29777.0	31561.0	29499.0	36118.0	30400.0	29602.0	23316.0
200	40020.0	33459.0	33355.0	26632.0	33627.0	33567.0	34200.0	25261.0	32057.0	33138.0	38813.0	32320.0	34277.0	32512.0	25514.0	24599.0	31796.0	38764.0	28192.0	26462.0	26199.0	31898.0	35502.0	34797.0	33974.0	39086.0	32059.0	23945.0	26197.0	31811.0	34020.0	32006.0	38844.0	33010.0	32836.0	25470.0
